order_id,customer_age,order_value,product_category,discount_percent,used_coupon,product_rating,past_purchase_count,past_return_rate,delivery_delay_days,payment_method,shipping_method,device_type,session_length_minutes,num_product_views,returned
47045,51,896.4,sports,29.66,1,4.17,7,0.0743,2,wallet,standard,tablet,16.99,5,0
44296,40,278.35,apparel,15.44,0,3.81,8,0.2538,1,cod,express,mobile,6.39,2,0
74784,44,2436.4,electronics,1.62,1,4.89,11,0.0516,1,card,standard,mobile,10.79,1,0
70976,45,503.1,beauty,22.97,1,3.06,9,0.0544,2,upi,standard,desktop,19.57,2,0
46646,35,868.92,beauty,33.68,0,4.02,6,0.0655,1,wallet,express,mobile,18.54,2,0
8216,50,619.61,apparel,6.03,1,2.29,10,0.2416,0,wallet,express,mobile,12.41,3,0
65510,62,565.57,apparel,18.12,0,2.95,11,0.1379,3,cod,standard,mobile,13.54,2,0
62716,45,416.9,apparel,14.55,0,4.31,7,0.3662,0,wallet,standard,mobile,4.22,0,1
39860,44,568.59,toys,39.61,1,4.02,9,0.3346,1,card,standard,desktop,3.68,2,0
58835,21,483.13,apparel,39.87,0,4.51,12,0.188,0,card,standard,desktop,4.33,1,0
53520,40,300.75,apparel,29.52,0,3.72,5,0.1336,0,netbanking,express,mobile,10.52,5,0
834,37,533.19,beauty,10.57,0,3.59,9,0.4029,0,card,express,mobile,11.24,2,0
51038,42,1712.32,home,32.54,0,3.95,11,0.1527,1,upi,express,desktop,31.27,4,0
54369,42,584.48,apparel,24.17,0,3.87,6,0.1881,0,netbanking,standard,mobile,10.26,0,0
25541,70,1411.35,apparel,43.05,0,3.65,7,0.1249,0,wallet,express,desktop,23.87,5,0
36507,47,452.65,apparel,8.47,0,4.02,8,0.0632,3,card,standard,mobile,9.8,0,0
42404,33,4877.42,electronics,10.2,0,3.48,9,0.0986,3,card,standard,mobile,8.51,3,0
52594,29,434.25,apparel,9.24,0,4.52,12,0.0639,0,upi,express,desktop,1.98,0,0
41792,36,1226.89,beauty,18.75,0,2.92,8,0.3682,0,netbanking,standard,mobile,9.14,1,1
28276,32,1017.02,home,7.78,0,3.69,10,0.1759,0,wallet,express,desktop,5.47,1,0
