threshold,tp,fp,fn,tn,precision,recall,cost
0.02,2059,9855,0,86,0.17282189021319455,1.0,295650
0.03,2059,9678,0,263,0.17542813325381273,1.0,290340
0.04,2057,9405,2,536,0.17946257197696738,0.9990286546867412,282750
0.05,2053,9074,6,867,0.1845061561966388,0.9970859640602234,274020
0.06,2046,8703,13,1238,0.19034328774769746,0.9936862554638174,264990
0.07,2041,8340,18,1601,0.19660918986610154,0.9912578921806702,255600
0.08,2034,7978,25,1963,0.20315621254494606,0.9878581835842642,246840
0.09,2028,7645,31,2296,0.20965574278920707,0.9849441476444876,238650
0.1,2022,7337,37,2604,0.21604872315418314,0.982030111704711,231210
0.11,2015,7038,44,2903,0.222578150889208,0.978630403108305,224340
0.12,2008,6748,51,3193,0.22932846048423938,0.975230694511899,217740
0.13,2001,6484,58,3457,0.23582793164407778,0.971830985915493,211920
0.14,1992,6225,67,3716,0.24242424242424243,0.967459932005828,206850
0.15,1984,6012,75,3929,0.2481240620310155,0.9635745507527926,202860
0.16,1977,5785,82,4156,0.25470239628961605,0.9601748421563866,198150
0.17,1970,5575,89,4366,0.26110006626905236,0.9567751335599806,193950
0.18,1955,5384,104,4557,0.2663850660852977,0.9494900437105391,192720
0.19,1950,5184,109,4757,0.27333894028595457,0.9470616804273919,188220
0.2,1938,4997,121,4944,0.27945205479452057,0.9412336085478388,186210
0.21,1924,4828,135,5113,0.2849526066350711,0.9344341913550267,185340
0.22,1910,4661,149,5280,0.2906711307259169,0.9276347741622146,184530
0.23,1903,4512,156,5429,0.29664848012470774,0.9242350655658087,182160
0.24,1891,4362,168,5579,0.3024148408763793,0.9184069936862554,181260
0.25,1874,4235,185,5706,0.30676051726960224,0.9101505585235551,182550
0.26,1856,4113,203,5828,0.31093985592226503,0.9014084507042254,184290
0.27,1852,3983,207,5958,0.31739502999143104,0.8994657600777076,181590
0.28,1842,3864,217,6077,0.3228180862250263,0.8946090335114133,181020
0.29,1831,3747,228,6194,0.32825385442811045,0.8892666342884895,180810
0.3,1824,3638,235,6303,0.3339436103991212,0.8858669256920836,179640
0.31,1813,3540,246,6401,0.33868858583971606,0.8805245264691598,180000
0.32,1808,3437,251,6504,0.34470924690181126,0.8780961631860126,178410
0.33,1795,3334,264,6607,0.3499707545330474,0.87178241864983,179220
0.34,1787,3233,272,6708,0.35597609561752985,0.8678970373967946,178590
0.35,1774,3135,285,6806,0.3613770625381951,0.861583292860612,179550
0.36,1760,3044,299,6897,0.36636136552872606,0.8547838756677999,181020
0.37,1748,2964,311,6977,0.3709677419354839,0.8489558037882468,182220
0.38,1733,2865,326,7076,0.37690300130491516,0.8416707139388052,183750
0.39,1721,2775,338,7166,0.3827846975088968,0.8358426420592521,184650
0.4,1713,2703,346,7238,0.38790760869565216,0.8319572608062166,184890
0.41,1705,2634,354,7307,0.3929476837981102,0.8280718795531812,185220
0.42,1695,2537,364,7404,0.40051984877126656,0.8232151529868869,185310
0.43,1685,2453,374,7488,0.4072015466408893,0.8183584264205925,185790
0.44,1671,2381,388,7560,0.4123889437314906,0.8115590092277805,187830
0.45,1665,2300,394,7641,0.41992433795712486,0.8086449732880039,187200
0.46,1651,2238,408,7703,0.4245307276934945,0.8018455560951918,189540
0.47,1638,2171,421,7770,0.4300341296928328,0.7955318115590092,191430
0.48,1620,2092,439,7849,0.4364224137931034,0.7867897037396795,194460
0.49,1605,2028,454,7913,0.44178364987613544,0.779504613890238,197040
0.5,1589,1980,470,7961,0.44522275147100027,0.7717338513841671,200400
0.51,1569,1907,490,8034,0.45138089758342925,0.7620203982515784,204210
0.52,1559,1837,500,8104,0.45906949352179033,0.7571636716852841,205110
0.53,1550,1773,509,8168,0.46644598254589226,0.7527926177756192,205890
0.54,1537,1708,522,8233,0.4736517719568567,0.7464788732394366,207840
0.55,1524,1659,535,8282,0.47879359095193214,0.740165128703254,210270
0.56,1515,1591,544,8350,0.4877656149388281,0.7357940747935892,210930
0.57,1503,1543,556,8398,0.4934340118187787,0.7299660029140359,213090
0.58,1484,1489,575,8452,0.49915909855364954,0.7207382224380767,217170
0.59,1475,1429,584,8512,0.5079201101928374,0.7163671685284119,218070
0.6,1458,1358,601,8583,0.5177556818181818,0.7081107333657115,221040
0.61,1428,1309,631,8632,0.5217391304347826,0.6935405536668285,228570
0.62,1406,1246,653,8695,0.5301659125188537,0.6828557552209811,233280
0.63,1390,1198,669,8743,0.5370942812982998,0.6750849927149102,236640
0.64,1368,1148,691,8793,0.5437201907790143,0.6644001942690626,241740
0.65,1353,1110,706,8831,0.5493300852618758,0.6571151044196212,245100
0.66,1331,1057,728,8884,0.5573701842546064,0.6464303059737737,250110
0.67,1310,1011,749,8930,0.5644118914261095,0.6362311801845556,255030
0.68,1294,960,765,8981,0.5740905057675244,0.6284604176784847,258300
0.69,1274,912,785,9029,0.5827996340347666,0.6187469645458961,262860
0.7,1257,868,802,9073,0.5915294117647059,0.6104905293831957,266640
0.71,1228,830,831,9111,0.5966958211856171,0.5964060223409422,274200
0.72,1206,781,853,9160,0.60694514343231,0.5857212238950947,279330
0.73,1188,722,871,9219,0.6219895287958115,0.5769791160757649,282960
0.74,1162,680,897,9261,0.6308360477741585,0.5643516270033997,289500
0.75,1130,634,929,9307,0.6405895691609977,0.5488101019912579,297720
0.76,1105,603,954,9338,0.6469555035128806,0.5366682855755222,304290
0.77,1078,572,981,9369,0.6533333333333333,0.5235551238465275,311460
0.78,1036,538,1023,9403,0.6581956797966964,0.5031568722680914,323040
0.79,1011,495,1048,9446,0.6713147410358565,0.4910150558523555,329250
0.8,971,470,1088,9471,0.6738376127689105,0.47158814958717826,340500
0.81,933,438,1126,9503,0.6805251641137856,0.45313258863525985,350940
0.82,898,400,1161,9541,0.6918335901386748,0.4361340456532297,360300
0.83,865,368,1194,9573,0.7015409570154095,0.42010684798445846,369240
0.84,827,328,1232,9613,0.716017316017316,0.40165128703254005,379440
0.85,792,290,1267,9651,0.7319778188539742,0.38465274405051,388800
0.86,743,253,1316,9688,0.7459839357429718,0.3608547838756678,402390
0.87,695,219,1364,9722,0.7603938730853391,0.3375424963574551,415770
0.88,652,184,1407,9757,0.7799043062200957,0.3166585721223895,427620
0.89,609,149,1450,9792,0.8034300791556728,0.29577464788732394,439470
0.9,554,125,1505,9816,0.8159057437407953,0.2690626517727052,455250
0.91,496,107,1563,9834,0.8225538971807629,0.24089363768819816,472110
