,mean_abs_shap
past_return_rate,1.202508441639416
discount_percent,0.3862237710930918
product_rating,0.27065164980119233
product_category,0.23055191340427514
delivery_delay_days,0.21159558089619335
payment_method,0.18199837787521908
session_length_minutes,0.04142172672137275
order_value,0.03662872599764609
customer_age,0.022477041847427832
past_purchase_count,0.019429398084875007
num_product_views,0.01651515588447747
device_type,0.012847590449089945
shipping_method,0.0029450080440779043
used_coupon,0.002165800240162097
